,Player,Team,GP,W,L,MIN,PTS,TOUCHES,Front CT Touches,Time Of Poss,Avg Sec Per Touch,Avg Drib Per Touch,PTS Per Touch,Elbow Touches,Post Ups,Paint Touches,PTS Per Elbow Touch,PTS Per Post Touch,PTS Per Paint Touch
534,Taurean Prince,MIN,69,40,29,17.1,7.3,21.0,12.0,0.7,2.01,1.02,0.346,0.2,0.0,0.5,0.5,2.0,0.514
535,Terance Mann,LAC,80,41,39,28.5,10.8,43.3,21.9,2.5,3.44,2.68,0.25,0.9,0.1,2.3,0.536,0.75,0.672
536,Terence Davis,SAC,29,10,19,17.9,10.4,25.7,15.0,1.1,2.66,2.3,0.407,0.2,0.0,0.7,0.857,0.0,1.0
537,Terrence Ross,ORL,63,14,49,23.0,10.0,28.8,20.7,1.3,2.71,1.79,0.346,0.3,0.0,0.3,0.526,0.0,1.0
538,Terry Rozier,CHA,72,38,34,33.7,19.4,68.4,36.2,4.1,3.64,3.11,0.284,0.4,0.0,0.8,0.645,0.0,0.933
539,Terry Taylor,IND,33,7,26,21.6,9.6,26.0,16.3,0.7,1.54,0.73,0.371,1.4,0.2,4.6,1.043,0.25,1.04
540,Thaddeus Young,TOR,52,27,25,16.3,6.2,30.8,18.8,1.0,1.92,0.85,0.201,2.5,0.9,3.5,0.389,0.217,0.722
541,Thanasis Antetokounmpo,MIL,48,26,22,9.9,3.6,12.7,6.5,0.5,2.29,1.53,0.28,0.5,0.2,2.5,0.5,0.75,0.754
542,Theo Maledon,OKC,51,14,37,17.8,7.1,40.0,19.3,2.3,3.38,2.94,0.177,0.2,0.0,0.5,0.583,0.0,0.667
543,Theo Pinson,DAL,19,14,5,7.8,2.5,14.2,8.2,0.5,2.28,1.27,0.178,0.2,0.0,0.2,1.333,0.0,0.667
544,Thomas Bryant,WAS,27,8,19,16.3,7.4,26.3,17.3,0.8,1.82,0.41,0.283,1.9,1.2,3.7,0.38,0.75,1.04
545,Tim Frazier,CLE,12,1,11,17.3,3.3,39.0,13.4,3.0,4.58,4.02,0.083,0.3,0.0,0.3,0.0,0.0,0.667
546,Tim Hardaway Jr.,DAL,42,24,18,29.6,14.2,46.1,28.6,1.8,2.39,1.49,0.309,0.5,0.1,0.8,0.522,0.5,1.0
547,Timothe Luwawu-Cabarrot,ATL,52,30,22,13.2,4.4,15.5,8.9,0.4,1.68,0.86,0.282,0.1,0.0,0.6,0.0,0.0,0.688
548,Tobias Harris,PHI,73,45,28,34.8,17.2,63.7,36.6,3.1,2.93,2.0,0.27,1.0,2.6,2.0,0.629,0.605,1.056
549,Tomas Satoransky,WAS,55,21,34,16.5,3.6,34.8,14.8,2.6,4.41,4.0,0.103,0.3,0.0,1.1,0.071,1.0,0.569
550,Tony Bradley,CHI,55,28,27,10.0,3.0,13.9,7.0,0.3,1.44,0.35,0.213,1.5,0.1,2.8,0.563,0.667,0.75
551,Tony Snell,NOP,53,19,34,15.5,3.5,17.2,8.7,0.5,1.65,0.58,0.205,0.2,0.0,0.5,0.222,0.0,0.88
552,Torrey Craig,PHX,78,36,42,20.5,6.6,27.3,15.7,0.8,1.84,0.89,0.242,0.5,0.0,1.8,1.0,2.0,0.857
553,Trae Young,ATL,76,40,36,34.9,28.4,82.9,25.1,8.7,6.3,5.79,0.342,0.2,0.0,0.7,0.444,0.0,0.717
554,Trayvon Palmer,DET,1,0,1,16.8,0.0,11.0,2.0,0.3,1.5,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,Tre Jones,SAS,69,32,37,16.6,6.0,36.9,12.3,2.8,4.59,4.05,0.162,0.4,0.0,0.9,0.966,0.0,0.717
556,Tre Mann,OKC,60,17,43,22.8,10.4,35.1,21.4,2.0,3.47,2.97,0.297,0.1,0.0,0.4,0.857,0.0,0.583
557,Tremont Waters,WAS,3,0,3,16.8,3.3,26.7,9.3,1.9,4.25,4.25,0.125,0.0,0.0,0.3,0.0,0.0,0.0
558,Trendon Watford,POR,48,16,32,18.1,7.6,32.9,16.4,1.2,2.14,1.15,0.231,2.3,0.6,2.3,0.468,0.71,1.054
559,Trent Forrest,UTA,60,36,24,12.8,3.3,24.4,9.0,2.0,5.01,4.56,0.133,0.2,0.0,0.5,0.143,0.0,0.333
560,Trevelin Queen,HOU,10,1,9,7.4,4.3,9.3,6.1,0.3,2.0,1.45,0.462,0.1,0.0,0.9,0.0,0.0,1.0
561,Trevon Scott,CLE,2,1,1,5.7,3.0,9.0,6.0,0.3,1.91,1.11,0.333,0.5,0.0,1.0,2.0,0.0,1.0
562,Trevor Ariza,LAL,24,8,16,19.3,4.0,24.6,14.3,0.6,1.56,0.58,0.162,0.3,0.0,0.9,0.833,0.0,0.857
563,Trey Burke,DAL,42,24,18,10.5,5.1,22.3,10.5,1.8,4.88,4.5,0.228,0.1,0.0,0.1,0.4,0.0,0.5
564,Trey Lyles,SAC,74,19,55,20.4,10.5,35.0,20.3,1.1,1.92,0.87,0.3,1.3,1.1,2.2,0.723,0.667,1.114
565,Trey Murphy III,NOP,62,31,31,13.9,5.4,13.7,9.9,0.4,1.74,0.89,0.393,0.2,0.0,1.0,0.533,0.0,0.923
566,Tristan Thompson,CHI,56,19,37,15.8,6.1,21.0,13.0,0.7,1.88,0.62,0.29,2.4,0.7,4.5,0.548,0.683,0.833
567,Troy Brown Jr.,CHI,66,37,29,16.0,4.3,19.1,9.9,0.6,1.93,1.18,0.224,0.3,0.0,0.9,0.8,0.0,0.712
568,Ty Jerome,OKC,48,15,33,16.7,7.1,34.5,18.6,2.1,3.69,3.08,0.206,0.2,0.0,0.4,0.0,0.0,0.85
569,Tyler Cook,CHI,20,13,7,10.0,3.4,10.7,5.8,0.3,1.61,0.4,0.315,1.3,0.1,2.1,0.76,1.0,0.905
570,Tyler Hall,NYK,1,1,0,1.9,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,Tyler Herro,MIA,66,44,22,32.6,20.7,65.3,30.6,4.7,4.32,3.83,0.317,0.5,0.0,1.0,1.0,0.0,1.121
572,Tyler Johnson,SAS,6,2,4,15.2,2.8,25.7,14.8,1.2,2.78,2.26,0.11,0.5,0.0,0.0,0.0,0.0,0.0
573,Tyrell Terry,MEM,2,2,0,1.5,1.0,2.0,0.5,0.2,5.5,4.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0
574,Tyrese Haliburton,IND,76,25,51,35.0,15.4,81.3,33.4,6.0,4.41,3.74,0.189,0.3,0.0,0.7,0.435,0.0,0.471
575,Tyrese Maxey,PHI,75,45,30,35.3,17.5,78.6,31.5,5.8,4.45,3.81,0.222,0.2,0.0,0.4,0.538,0.0,0.593
576,Tyrone Wallace,NOP,6,4,2,12.5,2.8,14.5,8.5,0.6,2.69,2.0,0.195,0.3,0.0,0.5,1.0,0.0,1.333
577,Tyus Jones,MEM,72,50,22,21.2,8.6,46.4,17.7,3.8,4.95,4.51,0.185,0.2,0.0,0.2,0.867,0.0,0.733
578,Udoka Azubuike,UTA,17,11,6,11.5,4.7,9.1,5.7,0.2,1.39,0.29,0.519,0.4,0.1,3.9,1.143,0.0,1.061
579,Udonis Haslem,MIA,13,10,3,6.4,2.5,9.2,5.4,0.3,1.66,0.39,0.267,0.9,0.2,1.8,0.583,1.0,0.958
580,Usman Garuba,HOU,24,2,22,10.0,2.0,14.1,5.7,0.3,1.37,0.5,0.142,0.5,0.0,1.5,0.273,0.0,0.649
581,Vernon Carey Jr.,WAS,7,3,4,6.3,2.9,8.0,6.4,0.2,1.84,0.8,0.357,1.1,0.3,2.1,0.125,1.0,0.933
